영화명,장르,배우,감독,제작사,상영시간,개봉일,줄거리,url,TMDB 키워드,Gemini 키워드,국가,실관람객 평점,네티즌 평점,네이버 관심도(찜),누적 관객수,온라인 판매실적(당월),온라인 판매실적(익월),온라인 판매실적(익익월),매력도,유사작,경쟁작,예측 매력도
귀공자,액션,"김선호, 강태주, 김강우, 고아라, 양이겸, 정예지, 손정아, 김한솔",박훈정,"(주)영화사 금월, (주)스튜디오앤뉴, (주)넥스트엔터테인먼트월드(NEW), (주)스튜디오앤뉴, (주)넥스트엔터테인먼트월드(NEW), (사)한국농아인협회, 한국시각장애인연합회",117.0,20230621.0,"필리핀에서 불법 경기장을 전전하며 병든 어머니와 살아가는 복싱 선수 마르코. 어머니의 수술비 마련을 위해 평생 본 적 없는 아버지를 만나러 한국으로 향하던 그의 앞에 정체불명의 남자 귀공자가 나타나 그를 추격하기 시작한다. 마르코 주위를 쑥대밭으로 만들며 숨통을 조여오는 귀공자를 필두로, 아버지의 막대한 유산을 차지하기 위해 마르코를 추격하는 재벌 2세 한이사, 필리핀에 이어 한국에서 우연히 마르코와 재회한 미스터리한 여자 윤주까지. 각기 다른 목적을 가진 이들은 단 하나의 타겟을 쫓아 모여들고, 그 무엇도 예측할 수 없는 혼란과 광기 속 마르코는 충격적인 진실을 마주하게 되는데…  단 하나의 타겟, 광기의 추격이 시작된다!",https://image.tmdb.org/t/p/w500/x0PHh4LH5pvp2PeG3qInrfWlG9q.jpg,"friendship, gangster, philippines, nobleman, wealthy family, conglomerate heir","긴장감 있는,현대,복수",한국,7.781,8.69,11556,68만,2365,4701,3300,10366,"쥬라기 월드: 도미니언, 비키퍼, 파묘, 캡틴 아메리카: 브레이브 뉴 월드, 미션 임파서블: 데드 레코닝",,40764.615
그녀가 죽었다,"미스터리, 스릴러","변요한, 신혜선, 이엘, 전정일",김세휘,"엔진 필름, (주)콘텐츠지오, (주)아티스트스튜디오, (주)무빙픽쳐스컴퍼니, 미시간벤처캐피탈(주), 주식회사 케이무비엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",102.0,20240515.0,"고객이 맡긴 열쇠로 그 집에 들어가  남의 삶을 훔쳐보는 취미를 지닌 공인중개사 구정태. 편의점 소시지를 먹으며 비건 샐러드 사진을 포스팅하는  SNS 인플루언서 한소라에게 흥미를 느끼고 관찰하기 시작한다. 급기야 한소라의 집까지 드나들던 구정태는 어느 날, 그녀가 소파에 죽은 채 늘어져 있는 모습을 발견하게 된다. 그 후 그가 한소라 집에 들어간 것을 알고 있는 누군가가 협박을 시작하고, 사건을 맡은 강력반 형사 오영주의 수사망이 그를 향해 좁혀온다. 스스로 범인을 찾아야 하는 구정태는 한소라의 SNS를 통해 주변 인물들을 뒤지며 진범을 찾아 나서는데…",https://image.tmdb.org/t/p/w500/wTtcvHnO0lzF9qOgmBjjzce2PMy.jpg,,"서스펜스 있는,도시,범죄",한국,8.261,8.17,5854,123만,59375,24056,13363,96794,"스트리밍, 설계자, 명탐정 코난: 100만 달러의 펜타그램, 타겟, 야당","악마와의 토크쇼, 혹성탈출: 새로운 시대, 퓨리오사: 매드맥스 사가",51307.145
극장판 도라에몽: 진구의 지구 교향곡,애니메이션,"윤아영, 김정아, 조현정, 이현주, 최낙윤",이마이 카즈아키,"씨제이 씨지브이(CJ CGV)(주), 대원미디어(주)",114.0,20240710.0,"학교 음악회를 위해 서투른 리코더 연습을 하는 진구. 그 앞에 나타난 미스터리한 소녀 미카는 진구의 느릿하고 느긋한 리코더 소리가 마음에 들어  음악이 에너지가 되는 행성의 ‘파레의 전당’에 도라에몽과 친구들을 초대한다. 미카는 전당을 구하기 위해 음악의 달인 ‘비르투오소’를 찾고 있었던 것!  하지만 세계에서 음악을 지워버리는 섬뜩한 생명체가 다가오면서 지구에 위기가 오는데…! 과연 ‘음악의 미래’, 그리고 지구를 구할 수 있을까?",https://image.tmdb.org/t/p/w500/hDoluzOTRZKR2fNmoWn87j9Z5Gt.jpg,anime,"가볍고 유쾌한,판타지 세계,우정",일본,7.971,8.21,552,10만,1221,668,490,2379,"뽀로로 극장판 바닷속 대모험, A MINECRAFT MOVIE 마인크래프트 무비, 슈퍼 마리오 브라더스, 트롤: 월드 투어, 뽀로로 극장판 슈퍼스타 대모험","탈주, 탈출: 프로젝트 사일런스, 명탐정 코난: 100만 달러의 펜타그램",46976.91
글래디에이터 Ⅱ,"액션, 사극","폴 메스칼, 페드로 파스칼, 덴젤 워싱턴, 코니 닐슨, 조셉 퀸",리들리 스콧,"롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트, 파라마운트 픽쳐스",147.0,20241113.0,,,,"냉혹한,역사적,복수",미국,7.641,7.06,2802,90만,87019,"61,421","12,922",161362,"비키퍼, 퓨리오사: 매드맥스 사가, 존 윅 4, 귀공자, 마녀","레드 원, 아노라, 사흘",134220.9
나 홀로 집에 2,"가족, 코미디, 액션, 스릴러","맥컬리 컬킨, 조 페시, 다니엘 스턴, 존 허드",크리스 콜럼버스,이십세기폭스코리아(주),118.0,19921218.0,"시카고에 살고 있는 케빈의 가족은 크리스마스에 플로리다에 가기로 되어있다. 그러나 공항의 소란 속에, 홀로 뉴욕행 비행기에 오르게 되어 거대한 도시에 혼자 남게 된 케빈은 기지를 발휘하여 아버지 카드로 플로리자 호텔에 묶게되고, 의심스러워 하는 종업원들을 멋지게 따돌린다. 한편, 감옥을 탈출한 2인조 강도 마브와 해리는 뉴욕의 장난감 가게를 털어 한 몫 잡을 꿈에 부풀어 있는데...",https://image.tmdb.org/t/p/w500/8lxJrcl24SWRAbLxOJNsvgFlSGa.jpg,"new york city, burglar, holiday, family relationships, sequel, slapstick comedy, little boy, home invasion, family, precocious child, home alone, mischievous child, christmas, kids on their own, child rescue, cheerful, comforting","유머러스한,도시,가족",미국,9.371,9.37,1914,0,1631,522,229,2382,"보스 베이비 2, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~, 슈퍼배드, 슈퍼 배드, 필사의 추격",,4238.495
나의 사랑 나의 신부,"멜로/로맨스, 코미디","조정석, 신민아, 윤정희, 김은비, 배성우, 라미란, 황정민, 서강준, 고규필, 손병욱, 윤문식, 이상희, 전예원, 조아라, 김광수, 김보미, 김선하, 박주운, 신영일, 김형욱, 김근영, 강신철, 박지연, 이상희, 조현식",임찬상,"(주)필름모멘텀, 씨네그루(주)다우기술, 씨네그루(주)다우기술, 엠라인디스트리뷰션(주)",111.0,20141008.0,"해도 후회, 안 해도 후회?  정말 결혼하면 다 이래?!  4년의 연애 끝에 결혼에 골인한 대한민국 보통 커플, 영민(조정석)과 미영(신민아).  마냥 행복할 줄만 알았던 달콤한 신혼생활도 잠시.  사소한 오해와 마찰들이 생기며 ‘결혼의 꿈’은 하나 둘씩 깨지기 시작하는데….  이 결혼, 과연 잘 한 걸까?  도대체 말이 안 통하는 철부지 남편 ‘영민’ 사사건건 잔소리만 늘어가는 아내 ‘미영’  정말 사랑해서 결혼했는데 왜 이렇게 힘든 걸까?  상상하고 꿈꿔 온 결혼, 그 이상의 ‘속’ 깊은 이야기가 펼쳐진다!",https://image.tmdb.org/t/p/w500/pgP4bzPtRUCACT2MndYpYe6DD9R.jpg,,"로맨틱한,현대,사랑/로맨스",한국,8.391,7.71,5145,214만,9,9,7,25,"동창회의 목적 2 (무삭제), 바이러스, 당신이 잠든 사이, 말할 수 없는 비밀, 알라딘",,2125.94
노량: 죽음의 바다,"사극, 액션","김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 민주호, 김동형, 이창균, 김경훈, 김진욱, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애, 윤혁진, 김시우, 박연",김한민,"(주)빅스톤픽쳐스, 롯데컬처웍스(주)롯데엔터테인먼트, (주)에이스메이커무비웍스, (주)에이스메이커무비웍스, 롯데컬처웍스(주)롯데엔터테인먼트, (주)에이스메이커무비웍스, (사)한국농아인협회, 한국시각장애인연합회",152.0,20231220.0,"임진왜란 발발로부터 7년이 지난 1598년 12월. 이순신은 왜군의 수장이던 도요토미 히데요시가 갑작스럽게 사망한 뒤 왜군들이 조선에서 황급히 퇴각하려 한다는 것을 알게 된다. 왜군을 완벽하게 섬멸하는 것이 이 전쟁을 올바르게 끝나는 것이라 생각한 이순신은 명나라와 조명연합함대를 꾸려 왜군의 퇴각로를 막고 적들을 섬멸하기로 결심한다. 하지만 왜군의 뇌물 공세에 넘어간 명나라 도독 진린은 왜군에게 퇴로를 열어주려 하고, 설상가상으로 왜군 수장인 시마즈의 살마군까지 왜군의 퇴각을 돕기 위해 노량으로 향하는데…",https://image.tmdb.org/t/p/w500/WqgLrAbPnEfgn7WP7J2IvL1Z9V.jpg,"japanese invasion of korea, joseon dynasty (1392–1910), yi sun-sin, imjin war","비장한,역사적,전쟁",한국,8.241,7.97,13150,457만,35593,172857,40660,249110,"오펜하이머, 명량, 존 오브 인터레스트, 행복의 나라, 영웅","뽀로로 극장판 슈퍼스타 대모험, 명량, 아쿠아맨과 로스트 킹덤, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~",189564.27
당신이 잠든 사이,"미스터리, 멜로/로맨스","추자현, 이무생, 손숙, 박민정, 남대협, 고병완, 권겸민, 성지루, 김진수, 김미우, 신우성, 서유나",장윤현,"(주)로그라인스튜디오, 트윈플러스파트너스(주)",99.0,20240320.0,"세상에서 가장 좋아하는 것은 술! 직장도 변변치 않고 회사 나가도 구박 당하기 일수이지만 인생의 영원한 동반자 술이 있어 오늘도, 내일도, 낼 모레도 평화로운 32살 골드 미스 아닌 옐로우 미스 정유진(예지원). '발광머리 앤의 블로그'에 소설을 연재하고 있는 그녀는 전체 회원수 고작 4명의 팬클럽까지 있는 자칭 인기(?) 인터넷 작가이기도 하다. 모아 놓은 돈도 없고 남자친구도 없지만 만만한 10년 지기 철진(탁재훈)과 화끈한 동거인 현주(김현숙)가 있어 외롭지는 않다.",https://image.tmdb.org/t/p/w500/xplD31PHEVIJO8TPHSgs5aN7ihL.jpg,,"서스펜스 있는,현대,사랑/로맨스",한국,8.001,8.93,633,4383,4313,3506,1279,9098,"나의 사랑 나의 신부, 바이러스, 동창회의 목적 2 (무삭제), 침범, 신명","랜드 오브 배드, 탐정 말로, 1980, 고질라 X 콩: 뉴 엠파이어, 댓글부대",12550.44
대가족,"드라마, 코미디","김윤석, 이승기, 김성령, 강한나, 박수영, 김시우, 윤채나, 심희섭, 길해연, 이순재, 강명환, 이보람, 이중현",양우석,"게니우스 유한회사, 롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",106.0,20241211.0,"자수성가 맛집의 근본, SNS 없던 시절부터 줄 서 먹던 노포 맛집 평만옥의 사장 무옥은 대를 이을 줄 알았던 외아들 문석이 승려가 되어 출가한 이후 근심이 깊어 간다. 자신의 대에서 끊겨버릴 예정인 가문을 걱정하던 가운데 어느 날, 평만옥에 문석이 자신의 아빠라며 방문한 어린 손님들! 끊길 줄 알았던 가문의 대를 잇게 생긴 무옥은 난생 처음 맛보는 행복을 느끼고 문석은 승려가 되기 이전의 과거를 되짚다 그만 충격적인 사실을 알게 되는데…",https://image.tmdb.org/t/p/w500/9PNcTHx1TiESlzqmgjHKgpy2ARP.jpg,buddhist monk,"마음이 따뜻해지는,현대,가족",한국,7.801,8.5,2913,35만,52505,37967,22097,112569,"인사이드 아웃 2, 어바웃 타임, 릴로 & 스티치, 3일의 휴가, 패딩턴: 페루에 가다!","원정빌라, 이처럼 사소한 것들, 헬보이: 크룩드 맨",50978.505
대외비,"범죄, 드라마","조진웅, 이성민, 김무열, 박태수, 원현준, 김민재, 유승목, 김윤성, 박세진, 손여은, 조영진, 최민철, 이상원, 박정표, 박상원, 허지원, 정기섭, 박기선, 한갑수, 문정대, 박상규, 손성찬, 엄옥란, 박재원, 양정인, 곽진, 이상협, 권혁성, 우수빈, 김제형, 김수환, 문순주, 최병윤, 김성곤, 박시완, 최현도, 여이레, 정소리, 윤도영, 김진, 문지영, 허민아, 김형명, 이원진, 정조준, 최동구, 이형원, 김민준, 이정우, 유상재, 양택호, 이태일, 김미현, 임종훈, 김탁, 이유주, 송용환, 김가은",이원태,"(주)트윈필름, (주)비에이엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",115.0,20230301.0,"1992년 부산, 밑바닥 정치 인생을 끝내고 싶은 만년 국회의원 후보 해웅. 해웅은 이번 선거에서만큼은 금뱃지를 달 것이라 확신했지만, 정치판을 뒤흔드는 권력 실세 순태에게 버림받으며 지역구 공천에서 탈락한다. 순태에 의해 짜여진 선거판을 뒤집기 위해 부산 지역 재개발 계획이 담긴 대외비 문서를 입수한 해웅. 행동파 조폭 필도를 통해 선거 자금까지 마련한 해웅은 무소속으로 선거판에 뛰어들어 승승장구한다. 순태 역시 해웅이 가진 대외비 문서의 존재를 알게 되고, 점차 해웅의 숨통을 조여오는데…",https://image.tmdb.org/t/p/w500/lnk2cwY3CJIzKrLm0sur2U40iqp.jpg,"election campaign, politician, election, classified, 1990s, busan, south korea","긴장감 있는,역사적,정치",한국,6.141,6.28,3088,75만,978,3739,1945,6662,"서울의 봄, 건국전쟁, 캡틴 아메리카: 브레이브 뉴 월드, 올빼미, 탐정 말로",스즈메의 문단속,78134.285
